"","acceptedScientificName","lat","lon"
"1","Senegalia greggii Britton & Rose",32.886551,-116.161887
"2","Senegalia greggii Britton & Rose",31.939728,-110.345353
"3","Senegalia greggii Britton & Rose",33.806703,-116.557092
"4","Senegalia caffra (Thunb.) P.J.H.Hurter & Mabb.",-26.166111,28.117317
"5","Senegalia greggii Britton & Rose",33.696382,-116.357484
"6","Senegalia greggii Britton & Rose",33.675213,-116.430447
"7","Senegalia greggii Britton & Rose",32.833943,-116.178912
"8","Senegalia berlandieri Britton & Rose",29.354237,-98.859882
"9","Senegalia greggii Britton & Rose",33.760121,-116.483999
"10","Senegalia berlandieri Britton & Rose",30.049885,-99.149226
"11","Senegalia ataxacantha (DC.) Kyal. & Boatwr.",-26.062094,28.122878
"12","Senegalia greggii Britton & Rose",33.607282,-116.021554
"13","Senegalia caffra (Thunb.) P.J.H.Hurter & Mabb.",-26.171894,28.013833
"14","Senegalia greggii Britton & Rose",35.2301,-114.596083
"15","Senegalia greggii Britton & Rose",26.540363,-98.06755
"16","Senegalia greggii Britton & Rose",32.752226,-116.167242
"17","Senegalia greggii Britton & Rose",33.016183,-116.441514
"18","Senegalia greggii Britton & Rose",35.897575,-115.123619
"19","Senegalia greggii Britton & Rose",32.788267,-116.084781
"20","Senegalia nigrescens (Oliv.) P.J.H.Hurter",-24.180584,30.829136
"21","Senegalia erubescens (Welw. ex Oliv.) Kyal. & Boatwr.",-24.222738,30.862635
"22","Senegalia greggii Britton & Rose",35.236369,-114.121269
"23","Senegalia ataxacantha (DC.) Kyal. & Boatwr.",-26.264405,32.03637
"24","Senegalia greggii Britton & Rose",33.367788,-116.421954
"25","Senegalia greggii Britton & Rose",32.645044,-111.427028
"26","Senegalia greggii Britton & Rose",33.245483,-116.405111
"27","Senegalia bonariensis (Gillies) Seigler & Ebinger",-34.607413,-58.351072
"28","Senegalia nigrescens (Oliv.) P.J.H.Hurter",-24.999023,31.487778
"29","Senegalia greggii Britton & Rose",34.734762,-115.666608
"30","Senegalia lotterii N.Hahn",-25.661638,31.033797
"31","Senegalia berlandieri Britton & Rose",28.80614,-100.847744
"32","Senegalia greggii Britton & Rose",33.634613,-116.323998
"33","Senegalia greggii Britton & Rose",33.699119,-116.3721
"34","Senegalia greggii Britton & Rose",33.232494,-116.086352
"35","Senegalia greggii Britton & Rose",34.09592,-116.165261
"36","Senegalia greggii Britton & Rose",33.593775,-115.805612
"37","Senegalia senegal var. rostrata (Brenan) Kyal. & Boatwr.",-24.448902,30.06589
"38","Senegalia bonariensis (Gillies) Seigler & Ebinger",-31.434739,-58.073502
"39","Senegalia Raf.",-26.239444,-49.543611
"40","Senegalia nigrescens (Oliv.) P.J.H.Hurter",-24.204679,31.132408
"41","Senegalia greggii Britton & Rose",34,-116.11
"42","Senegalia greggii Britton & Rose",33.523395,-115.789953
"43","Senegalia bonariensis (Gillies) Seigler & Ebinger",-31.440959,-58.089237
"44","Senegalia berlandieri Britton & Rose",27.611625,-99.211459
"45","Senegalia brevispica subsp. dregeana (Benth.) Kyal. & Boatwr.",-31.302363,29.952387
"46","Senegalia senegal Britton",-24.406962,30.987817
"47","Senegalia schweinfurthii var. schweinfurthii",-24.27308,29.766128
"48","Senegalia burkei (Benth.) Kyal. & Boatwr.",-26.262188,32.038295
"49","Senegalia insuavis (Lace) Pedley",-27.63,153.11
"50","Senegalia nigrescens (Oliv.) P.J.H.Hurter",-22.695535,31.00246
"51","Senegalia berlandieri Britton & Rose",26.527325,-98.046669
"52","Senegalia greggii Britton & Rose",32.914481,-114.793323
"53","Senegalia greggii Britton & Rose",33.200139,-116.384
"54","Senegalia greggii Britton & Rose",33.187692,-116.38413
"55","Senegalia greggii Britton & Rose",33.014618,-114.855721
"56","Senegalia greggii Britton & Rose",32.000136,-110.578963
"57","Senegalia greggii Britton & Rose",33.748817,-116.487263
"58","Senegalia greggii Britton & Rose",33.815312,-116.3035
"59","Senegalia berlandieri Britton & Rose",27.791756,-97.399488
"60","Senegalia greggii Britton & Rose",32.95929,-114.838455
"61","Senegalia greggii Britton & Rose",32.309583,-110.721211
"62","Senegalia berlandieri Britton & Rose",26.348198,-98.740166
"63","Senegalia greggii Britton & Rose",32.883896,-114.78165
"64","Senegalia greggii Britton & Rose",29.318764,-114.282478
"65","Senegalia greggii Britton & Rose",33.624095,-115.9959
"66","Senegalia greggii Britton & Rose",33.722087,-115.783085
"67","Senegalia greggii Britton & Rose",33.011349,-114.858574
"68","Senegalia berlandieri Britton & Rose",26.496202,-99.080116
"69","Senegalia greggii Britton & Rose",33.002056,-114.830528
"70","Senegalia greggii Britton & Rose",32.187134,-104.421581
"71","Senegalia greggii Britton & Rose",32.883001,-114.780154
"72","Senegalia greggii Britton & Rose",33.729053,-115.796512
"73","Senegalia roemeriana Britton & Rose",29.639805,-98.467018
"74","Senegalia greggii Britton & Rose",33.689447,-116.426207
"75","Senegalia roemeriana Britton & Rose",29.565753,-98.577172
"76","Senegalia berlandieri Britton & Rose",28.122998,-97.920845
"77","Senegalia greggii Britton & Rose",32.952371,-114.666478
"78","Senegalia caffra (Thunb.) P.J.H.Hurter & Mabb.",-25.911817,28.177563
"79","Senegalia greggii Britton & Rose",32.913919,-114.715056
"80","Senegalia greggii Britton & Rose",20.663143,-100.109878
"81","Senegalia berlandieri Britton & Rose",29.392771,-98.496009
"82","Senegalia greggii Britton & Rose",33.819807,-116.286635
"83","Senegalia greggii Britton & Rose",32.897029,-114.690073
"84","Senegalia greggii Britton & Rose",32.896957,-114.690063
"85","Senegalia greggii Britton & Rose",33.700583,-116.415883
"86","Senegalia berlandieri Britton & Rose",26.173053,-98.382334
"87","Senegalia greggii Britton & Rose",33.763693,-111.844133
"88","Senegalia berlandieri Britton & Rose",29.610795,-100.448139
"89","Senegalia berlandieri Britton & Rose",27.575015,-99.432249
"90","Senegalia berlandieri Britton & Rose",26.524292,-98.077823
"91","Senegalia greggii Britton & Rose",32.961516,-114.791176
"92","Senegalia greggii Britton & Rose",33.946969,-116.438875
"93","Senegalia senegal Britton",-26.15337,31.982991
"94","Senegalia greggii Britton & Rose",33.950892,-116.439792
"95","Senegalia roemeriana Britton & Rose",29.46097,-98.479567
"96","Senegalia greggii Britton & Rose",33.03186,-114.765539
"97","Senegalia greggii Britton & Rose",33.909487,-112.818132
"98","Senegalia greggii Britton & Rose",33.718014,-115.811261
"99","Senegalia greggii Britton & Rose",33.025178,-114.767988
"100","Senegalia greggii Britton & Rose",33.023925,-114.771357
"101","Senegalia greggii Britton & Rose",32.866658,-114.765563
"102","Senegalia kraussiana (Meisn. ex Benth.) Kyal. & Boatwr.",-28.2938,32.463
"103","Senegalia mellifera (Vahl) Seigler & Ebinger",-28.576167,21.007292
"104","Senegalia greggii Britton & Rose",32.880157,-114.764904
"105","Senegalia mellifera (Vahl) Seigler & Ebinger",-28.539622,20.962406
